"","location","age","total","numLT5","roof"
"483","Visayas",69,5,1,"Predominantly Strong Material"
"484","CentralLuzon",83,3,0,"Predominantly Strong Material"
"485","IlocosRegion",62,4,0,"Predominantly Strong Material"
"486","MetroManila",45,1,0,"Predominantly Strong Material"
"487","MetroManila",54,4,2,"Predominantly Strong Material"
"488","IlocosRegion",67,0,0,"Predominantly Strong Material"
"489","IlocosRegion",33,3,2,"Predominantly Strong Material"
"490","IlocosRegion",43,5,0,"Predominantly Strong Material"
"491","Visayas",45,5,0,"Predominantly Strong Material"
"492","CentralLuzon",30,5,0,"Predominantly Strong Material"
"493","Visayas",30,4,1,"Predominantly Strong Material"
"494","Visayas",82,2,0,"Predominantly Strong Material"
"495","CentralLuzon",39,1,0,"Predominantly Light/Salvaged Material"
"496","Visayas",30,4,1,"Predominantly Strong Material"
"497","CentralLuzon",48,2,1,"Predominantly Strong Material"
"498","Visayas",43,1,0,"Predominantly Strong Material"
"499","DavaoRegion",23,2,1,"Predominantly Strong Material"
"500","MetroManila",36,3,1,"Predominantly Strong Material"
"501","DavaoRegion",39,4,0,"Predominantly Strong Material"
"502","IlocosRegion",52,5,0,"Predominantly Strong Material"
"503","Visayas",59,3,0,"Predominantly Light/Salvaged Material"
"504","MetroManila",38,3,0,"Predominantly Strong Material"
"505","IlocosRegion",74,4,0,"Predominantly Strong Material"
"506","DavaoRegion",69,3,0,"Predominantly Strong Material"
"507","IlocosRegion",49,6,0,"Predominantly Strong Material"
"508","MetroManila",53,7,2,"Predominantly Strong Material"
"509","MetroManila",53,3,0,"Predominantly Strong Material"
"510","CentralLuzon",68,3,0,"Predominantly Strong Material"
"511","IlocosRegion",42,5,0,"Predominantly Strong Material"
"512","CentralLuzon",35,4,1,"Predominantly Light/Salvaged Material"
"513","MetroManila",68,10,2,"Predominantly Strong Material"
"514","MetroManila",56,6,0,"Predominantly Strong Material"
"515","MetroManila",52,0,0,"Predominantly Strong Material"
"516","Visayas",88,3,0,"Predominantly Strong Material"
"517","Visayas",72,2,0,"Predominantly Light/Salvaged Material"
"518","Visayas",42,4,0,"Predominantly Strong Material"
"519","Visayas",58,3,0,"Predominantly Strong Material"
"520","Visayas",44,4,0,"Predominantly Strong Material"
"521","IlocosRegion",44,2,0,"Predominantly Strong Material"
"522","Visayas",47,4,0,"Predominantly Strong Material"
"523","MetroManila",81,2,0,"Predominantly Strong Material"
"524","IlocosRegion",49,16,4,"Predominantly Strong Material"
"525","Visayas",66,5,1,"Predominantly Strong Material"
"526","Visayas",44,9,1,"Predominantly Strong Material"
"527","MetroManila",54,9,1,"Predominantly Strong Material"
"528","CentralLuzon",64,2,0,"Predominantly Strong Material"
"529","MetroManila",67,2,0,"Predominantly Strong Material"
"530","DavaoRegion",29,4,1,"Predominantly Strong Material"
"531","Visayas",48,5,1,"Predominantly Strong Material"
"532","CentralLuzon",42,2,0,"Predominantly Strong Material"
"533","DavaoRegion",80,2,0,"Predominantly Strong Material"
"534","Visayas",36,6,1,"Predominantly Light/Salvaged Material"
"535","IlocosRegion",38,2,0,"Predominantly Strong Material"
"536","Visayas",29,4,0,"Predominantly Strong Material"
"537","Visayas",62,9,2,"Predominantly Strong Material"
"538","Visayas",66,2,0,"Predominantly Strong Material"
"539","Visayas",45,1,0,"Predominantly Strong Material"
"540","CentralLuzon",44,4,0,"Predominantly Strong Material"
"541","CentralLuzon",36,4,0,"Predominantly Strong Material"
"542","IlocosRegion",27,3,1,"Predominantly Strong Material"
"543","MetroManila",68,11,0,"Predominantly Strong Material"
"544","DavaoRegion",80,3,0,"Predominantly Strong Material"
"545","MetroManila",32,2,0,"Predominantly Strong Material"
"546","Visayas",51,9,1,"Predominantly Strong Material"
"547","Visayas",40,6,1,"Predominantly Strong Material"
"548","MetroManila",63,5,1,"Predominantly Strong Material"
"549","MetroManila",48,7,1,"Predominantly Strong Material"
"550","Visayas",60,4,0,"Predominantly Light/Salvaged Material"
"551","DavaoRegion",83,0,0,"Predominantly Strong Material"
"552","CentralLuzon",44,3,1,"Predominantly Strong Material"
"553","MetroManila",82,1,0,"Predominantly Strong Material"
"554","CentralLuzon",38,5,0,"Predominantly Strong Material"
"555","Visayas",50,0,0,"Predominantly Strong Material"
"556","CentralLuzon",75,2,0,"Predominantly Strong Material"
"557","IlocosRegion",70,3,1,"Predominantly Strong Material"
"558","Visayas",50,1,0,"Predominantly Light/Salvaged Material"
"559","CentralLuzon",52,2,0,"Predominantly Strong Material"
"560","Visayas",62,9,1,"Predominantly Light/Salvaged Material"
"561","Visayas",68,1,0,"Predominantly Strong Material"
"562","Visayas",40,1,0,"Predominantly Strong Material"
"563","Visayas",31,2,1,"Predominantly Strong Material"
"564","CentralLuzon",56,6,1,"Predominantly Strong Material"
"565","MetroManila",38,5,1,"Predominantly Strong Material"
"566","MetroManila",41,4,1,"Predominantly Strong Material"
"567","CentralLuzon",49,3,0,"Predominantly Strong Material"
"568","DavaoRegion",53,3,0,"Predominantly Light/Salvaged Material"
"569","MetroManila",71,4,0,"Predominantly Strong Material"
"570","MetroManila",58,8,1,"Predominantly Strong Material"
"571","Visayas",57,2,1,"Predominantly Strong Material"
"572","Visayas",35,4,1,"Predominantly Strong Material"
"573","DavaoRegion",65,4,0,"Predominantly Strong Material"
"574","Visayas",48,4,0,"Predominantly Strong Material"
"575","IlocosRegion",42,6,0,"Predominantly Strong Material"
"576","DavaoRegion",53,5,0,"Predominantly Strong Material"
"577","DavaoRegion",24,0,0,"Predominantly Strong Material"
"578","Visayas",55,5,0,"Predominantly Strong Material"
"579","Visayas",68,0,0,"Predominantly Strong Material"
"580","Visayas",55,6,0,"Predominantly Strong Material"
"581","Visayas",45,3,0,"Predominantly Strong Material"
"582","DavaoRegion",32,4,1,"Predominantly Strong Material"
"583","Visayas",33,2,0,"Predominantly Strong Material"
"584","Visayas",72,3,0,"Predominantly Strong Material"
"585","IlocosRegion",69,1,0,"Predominantly Strong Material"
"586","MetroManila",70,1,0,"Predominantly Strong Material"
"587","Visayas",42,3,0,"Predominantly Strong Material"
"588","Visayas",41,4,0,"Predominantly Strong Material"
"589","Visayas",51,8,1,"Predominantly Strong Material"
"590","Visayas",74,0,0,"Predominantly Strong Material"
"591","DavaoRegion",46,8,1,"Predominantly Light/Salvaged Material"
"592","DavaoRegion",18,1,0,"Predominantly Strong Material"
"593","MetroManila",64,5,0,"Predominantly Strong Material"
"594","Visayas",71,5,0,"Predominantly Light/Salvaged Material"
"595","IlocosRegion",39,6,2,"Predominantly Strong Material"
"596","IlocosRegion",53,4,0,"Predominantly Strong Material"
"597","IlocosRegion",68,2,0,"Predominantly Strong Material"
"598","Visayas",41,9,2,"Predominantly Strong Material"
"599","DavaoRegion",48,8,1,"Predominantly Strong Material"
"600","Visayas",23,2,1,"Predominantly Strong Material"
"601","CentralLuzon",49,3,0,"Predominantly Strong Material"
"602","DavaoRegion",50,10,1,"Predominantly Strong Material"
"603","Visayas",60,3,0,"Predominantly Strong Material"
"604","MetroManila",30,2,0,"Predominantly Strong Material"
"605","CentralLuzon",49,4,1,"Predominantly Strong Material"
"606","Visayas",43,3,0,"Predominantly Strong Material"
"607","Visayas",45,6,0,"Predominantly Light/Salvaged Material"
"608","IlocosRegion",68,5,0,"Predominantly Strong Material"
"609","Visayas",75,1,0,"Predominantly Strong Material"
"610","IlocosRegion",67,10,1,"Predominantly Strong Material"
"611","DavaoRegion",59,6,1,"Predominantly Light/Salvaged Material"
"612","MetroManila",65,5,0,"Predominantly Strong Material"
"613","Visayas",29,3,1,"Predominantly Light/Salvaged Material"
"614","IlocosRegion",62,5,1,"Predominantly Strong Material"
"615","Visayas",39,4,0,"Predominantly Strong Material"
"616","CentralLuzon",43,1,0,"Predominantly Strong Material"
"617","Visayas",60,5,0,"Predominantly Strong Material"
"618","MetroManila",48,0,0,"Predominantly Strong Material"
"619","DavaoRegion",55,2,0,"Predominantly Strong Material"
"620","Visayas",62,4,0,"Predominantly Strong Material"
"621","Visayas",68,1,0,"Predominantly Strong Material"
"622","Visayas",61,0,0,"Predominantly Strong Material"
"623","CentralLuzon",60,6,1,"Predominantly Light/Salvaged Material"
"624","DavaoRegion",45,4,0,"Predominantly Strong Material"
"625","CentralLuzon",75,0,0,"Predominantly Strong Material"
"626","IlocosRegion",62,5,2,"Predominantly Strong Material"
"627","CentralLuzon",32,3,0,"Predominantly Strong Material"
"628","Visayas",41,4,0,"Predominantly Strong Material"
"629","Visayas",69,6,1,"Predominantly Strong Material"
"630","Visayas",35,2,1,"Predominantly Strong Material"
"631","CentralLuzon",65,1,0,"Predominantly Strong Material"
"632","IlocosRegion",51,0,0,"Predominantly Strong Material"
"633","DavaoRegion",31,5,2,"Predominantly Light/Salvaged Material"
"634","Visayas",63,1,0,"Predominantly Strong Material"
"635","Visayas",31,7,2,"Predominantly Strong Material"
"636","IlocosRegion",64,3,0,"Predominantly Strong Material"
"637","DavaoRegion",42,4,0,"Predominantly Strong Material"
"638","IlocosRegion",43,5,1,"Predominantly Strong Material"
"639","Visayas",85,6,1,"Predominantly Strong Material"
"640","DavaoRegion",20,1,0,"Predominantly Strong Material"
"641","MetroManila",37,3,0,"Predominantly Strong Material"
"642","Visayas",45,9,1,"Predominantly Strong Material"
"643","MetroManila",54,4,0,"Predominantly Strong Material"
"644","Visayas",56,0,0,"Predominantly Strong Material"
"645","DavaoRegion",42,4,0,"Predominantly Strong Material"
"646","Visayas",78,1,0,"Predominantly Strong Material"
"647","MetroManila",48,8,1,"Predominantly Strong Material"
"648","CentralLuzon",66,3,0,"Predominantly Strong Material"
"649","Visayas",41,2,1,"Predominantly Light/Salvaged Material"
"650","Visayas",50,7,1,"Predominantly Strong Material"
"651","DavaoRegion",52,2,0,"Predominantly Strong Material"
"652","Visayas",49,3,0,"Predominantly Strong Material"
"653","MetroManila",76,1,0,"Predominantly Strong Material"
"654","IlocosRegion",79,7,1,"Predominantly Strong Material"
"655","MetroManila",49,7,0,"Predominantly Strong Material"
"656","MetroManila",53,5,0,"Predominantly Strong Material"
"657","CentralLuzon",67,1,0,"Predominantly Strong Material"
"658","Visayas",42,4,0,"Predominantly Light/Salvaged Material"
"659","CentralLuzon",57,2,0,"Predominantly Strong Material"
"660","CentralLuzon",36,6,2,"Predominantly Strong Material"
"661","MetroManila",53,2,0,"Predominantly Strong Material"
"662","MetroManila",73,0,0,"Predominantly Strong Material"
"663","MetroManila",40,1,0,"Predominantly Strong Material"
"664","DavaoRegion",52,3,0,"Predominantly Strong Material"
"665","CentralLuzon",56,4,0,"Predominantly Strong Material"
"666","CentralLuzon",69,4,1,"Predominantly Strong Material"
"667","CentralLuzon",38,3,0,"Predominantly Strong Material"
"668","Visayas",70,1,0,"Predominantly Strong Material"
"669","MetroManila",39,3,0,"Predominantly Strong Material"
"670","Visayas",40,5,2,"Predominantly Light/Salvaged Material"
"671","MetroManila",56,6,0,"Predominantly Strong Material"
"672","DavaoRegion",75,2,0,"Predominantly Strong Material"
"673","MetroManila",54,1,0,"Predominantly Strong Material"
"674","Visayas",33,5,1,"Predominantly Strong Material"
"675","MetroManila",48,7,2,"Predominantly Strong Material"
"676","IlocosRegion",62,3,0,"Predominantly Strong Material"
"677","DavaoRegion",60,1,0,"Predominantly Strong Material"
"678","Visayas",54,7,0,"Predominantly Strong Material"
"679","MetroManila",40,4,0,"Predominantly Strong Material"
"680","DavaoRegion",59,4,0,"Predominantly Strong Material"
"681","MetroManila",53,3,0,"Predominantly Strong Material"
"682","DavaoRegion",59,1,0,"Predominantly Strong Material"
"683","MetroManila",68,4,0,"Predominantly Strong Material"
"684","Visayas",49,9,0,"Predominantly Strong Material"
"685","MetroManila",65,4,0,"Predominantly Strong Material"
"686","MetroManila",48,6,0,"Predominantly Strong Material"
"687","DavaoRegion",71,0,0,"Predominantly Strong Material"
"688","DavaoRegion",72,0,0,"Predominantly Light/Salvaged Material"
"689","IlocosRegion",51,3,0,"Predominantly Light/Salvaged Material"
"690","MetroManila",64,5,0,"Predominantly Strong Material"
"691","DavaoRegion",53,5,2,"Predominantly Strong Material"
"692","Visayas",53,5,0,"Predominantly Strong Material"
"693","Visayas",54,8,0,"Predominantly Strong Material"
"694","CentralLuzon",56,5,1,"Predominantly Strong Material"
"695","MetroManila",66,1,0,"Predominantly Strong Material"
"696","MetroManila",66,1,0,"Predominantly Strong Material"
"697","Visayas",69,9,1,"Predominantly Strong Material"
"698","Visayas",34,3,0,"Predominantly Strong Material"
"699","DavaoRegion",54,4,0,"Predominantly Strong Material"
"700","Visayas",32,5,2,"Predominantly Strong Material"
"701","Visayas",29,4,2,"Predominantly Strong Material"
"702","Visayas",77,1,0,"Predominantly Strong Material"
"703","IlocosRegion",39,2,1,"Predominantly Strong Material"
"704","CentralLuzon",33,3,0,"Predominantly Strong Material"
"705","CentralLuzon",45,4,0,"Predominantly Strong Material"
"706","MetroManila",49,4,0,"Predominantly Strong Material"
"707","Visayas",49,6,0,"Predominantly Strong Material"
"708","Visayas",34,2,1,"Predominantly Strong Material"
"709","Visayas",47,3,0,"Predominantly Strong Material"
"710","MetroManila",50,2,1,"Predominantly Strong Material"
"711","MetroManila",35,0,0,"Predominantly Strong Material"
"712","MetroManila",57,3,0,"Predominantly Strong Material"
"713","CentralLuzon",65,8,2,"Predominantly Strong Material"
"714","Visayas",40,4,1,"Predominantly Strong Material"
"715","DavaoRegion",50,3,0,"Predominantly Strong Material"
"716","Visayas",26,3,2,"Predominantly Light/Salvaged Material"
"717","IlocosRegion",69,1,0,"Predominantly Strong Material"
"718","Visayas",63,9,2,"Predominantly Strong Material"
"719","IlocosRegion",62,5,0,"Predominantly Strong Material"
"720","MetroManila",53,4,0,"Predominantly Strong Material"
"721","Visayas",38,7,1,"Predominantly Strong Material"
"722","Visayas",74,1,0,"Predominantly Strong Material"
"723","IlocosRegion",35,2,1,"Predominantly Strong Material"
"724","CentralLuzon",53,1,0,"Predominantly Strong Material"
"725","MetroManila",44,5,0,"Predominantly Strong Material"
"726","Visayas",58,4,0,"Predominantly Strong Material"
"727","IlocosRegion",44,3,0,"Predominantly Strong Material"
"728","CentralLuzon",80,4,0,"Predominantly Strong Material"
"729","Visayas",50,1,0,"Predominantly Strong Material"
"730","CentralLuzon",73,1,0,"Predominantly Strong Material"
"731","Visayas",54,1,0,"Predominantly Light/Salvaged Material"
"732","Visayas",67,6,0,"Predominantly Strong Material"
"733","DavaoRegion",60,8,0,"Predominantly Strong Material"
"734","CentralLuzon",53,6,1,"Predominantly Strong Material"
"735","CentralLuzon",38,3,0,"Predominantly Strong Material"
"736","CentralLuzon",69,5,0,"Predominantly Strong Material"
"737","MetroManila",39,3,1,"Predominantly Strong Material"
"738","Visayas",43,2,0,"Predominantly Strong Material"
"739","Visayas",46,5,0,"Predominantly Strong Material"
"740","IlocosRegion",38,4,1,"Predominantly Strong Material"
"741","MetroManila",62,8,1,"Predominantly Strong Material"
"742","IlocosRegion",37,5,0,"Predominantly Strong Material"
"743","DavaoRegion",33,5,2,"Predominantly Strong Material"
"744","Visayas",55,3,0,"Predominantly Strong Material"
"745","Visayas",37,3,1,"Predominantly Strong Material"
"746","Visayas",39,4,0,"Predominantly Strong Material"
"747","Visayas",48,3,0,"Predominantly Strong Material"
"748","CentralLuzon",48,7,0,"Predominantly Strong Material"
"749","MetroManila",50,1,0,"Predominantly Strong Material"
"750","CentralLuzon",32,3,1,"Predominantly Strong Material"
"751","DavaoRegion",40,2,0,"Predominantly Strong Material"
"752","MetroManila",71,2,0,"Predominantly Strong Material"
"753","CentralLuzon",59,4,0,"Predominantly Strong Material"
"754","Visayas",47,2,0,"Predominantly Strong Material"
"755","Visayas",40,7,1,"Predominantly Strong Material"
"756","CentralLuzon",53,4,0,"Predominantly Strong Material"
"757","MetroManila",62,5,0,"Predominantly Strong Material"
"758","Visayas",46,5,0,"Predominantly Strong Material"
"759","IlocosRegion",49,5,0,"Predominantly Strong Material"
"760","MetroManila",72,4,0,"Predominantly Strong Material"
"761","Visayas",53,4,0,"Predominantly Strong Material"
"762","Visayas",42,8,0,"Predominantly Strong Material"
"763","CentralLuzon",48,4,0,"Predominantly Strong Material"
"764","Visayas",68,8,1,"Predominantly Light/Salvaged Material"
"765","CentralLuzon",32,5,1,"Predominantly Strong Material"
"766","MetroManila",44,2,0,"Predominantly Strong Material"
"767","Visayas",51,5,1,"Predominantly Strong Material"
"768","Visayas",65,1,0,"Predominantly Strong Material"
"769","Visayas",44,6,0,"Predominantly Strong Material"
"770","IlocosRegion",79,3,0,"Predominantly Light/Salvaged Material"
"771","MetroManila",39,4,0,"Predominantly Strong Material"
"772","DavaoRegion",30,4,1,"Predominantly Strong Material"
"773","MetroManila",84,1,0,"Predominantly Strong Material"
"774","Visayas",36,9,1,"Predominantly Light/Salvaged Material"
"775","Visayas",76,5,0,"Predominantly Strong Material"
"776","DavaoRegion",58,1,0,"Predominantly Strong Material"
"777","DavaoRegion",45,4,0,"Predominantly Strong Material"
"778","Visayas",72,4,0,"Predominantly Strong Material"
"779","Visayas",53,6,2,"Predominantly Strong Material"
"780","IlocosRegion",56,3,0,"Predominantly Strong Material"
"781","CentralLuzon",48,6,0,"Predominantly Strong Material"
"782","Visayas",85,2,0,"Predominantly Strong Material"
"783","MetroManila",35,6,1,"Predominantly Strong Material"
"784","DavaoRegion",23,2,0,"Predominantly Strong Material"
"785","DavaoRegion",33,4,1,"Predominantly Strong Material"
"786","CentralLuzon",69,1,0,"Predominantly Strong Material"
"787","IlocosRegion",51,6,1,"Predominantly Strong Material"
"788","DavaoRegion",30,4,1,"Predominantly Strong Material"
"789","CentralLuzon",32,4,0,"Predominantly Strong Material"
"790","MetroManila",61,2,0,"Predominantly Strong Material"
"791","CentralLuzon",43,2,0,"Predominantly Strong Material"
"792","Visayas",39,3,0,"Predominantly Strong Material"
"793","MetroManila",64,2,0,"Predominantly Strong Material"
"794","Visayas",61,8,3,"Predominantly Strong Material"
"795","MetroManila",58,6,1,"Predominantly Strong Material"
"796","Visayas",77,4,1,"Predominantly Strong Material"
"797","MetroManila",75,3,0,"Predominantly Strong Material"
"798","IlocosRegion",31,2,0,"Predominantly Strong Material"
"799","Visayas",46,4,0,"Predominantly Strong Material"
"800","MetroManila",43,5,0,"Predominantly Strong Material"
"801","IlocosRegion",38,7,0,"Predominantly Strong Material"
"802","CentralLuzon",43,2,0,"Predominantly Strong Material"
"803","DavaoRegion",45,4,0,"Predominantly Strong Material"
"804","Visayas",57,4,0,"Predominantly Strong Material"
"805","Visayas",44,8,1,"Predominantly Strong Material"
"806","Visayas",31,3,2,"Predominantly Strong Material"
"807","DavaoRegion",42,2,0,"Predominantly Strong Material"
"808","Visayas",55,4,1,"Predominantly Strong Material"
"809","DavaoRegion",38,3,0,"Predominantly Strong Material"
"810","DavaoRegion",55,1,0,"Predominantly Light/Salvaged Material"
"811","IlocosRegion",74,1,0,"Predominantly Strong Material"
"812","Visayas",53,6,1,"Predominantly Strong Material"
"813","IlocosRegion",60,4,1,"Predominantly Strong Material"
"814","IlocosRegion",65,2,0,"Predominantly Strong Material"
"815","MetroManila",32,3,2,"Predominantly Strong Material"
"816","Visayas",50,3,0,"Predominantly Strong Material"
"817","Visayas",74,1,0,"Predominantly Strong Material"
"818","CentralLuzon",60,12,2,"Predominantly Strong Material"
"819","MetroManila",35,4,0,"Predominantly Strong Material"
"820","CentralLuzon",25,4,1,"Predominantly Strong Material"
"821","DavaoRegion",58,4,0,"Predominantly Strong Material"
"822","MetroManila",57,3,0,"Predominantly Strong Material"
"823","IlocosRegion",49,4,1,"Predominantly Strong Material"
"824","CentralLuzon",76,1,0,"Predominantly Strong Material"
"825","MetroManila",32,3,1,"Predominantly Strong Material"
"826","Visayas",38,5,1,"Predominantly Strong Material"
"827","CentralLuzon",68,1,0,"Predominantly Strong Material"
"828","MetroManila",43,3,0,"Predominantly Strong Material"
"829","DavaoRegion",38,4,1,"Predominantly Strong Material"
"830","Visayas",69,2,1,"Predominantly Strong Material"
"831","Visayas",69,9,2,"Predominantly Strong Material"
"832","Visayas",59,4,0,"Predominantly Strong Material"
"833","Visayas",49,11,0,"Predominantly Strong Material"
"834","Visayas",37,1,0,"Predominantly Light/Salvaged Material"
"835","Visayas",40,4,0,"Predominantly Strong Material"
"836","CentralLuzon",69,0,0,"Predominantly Strong Material"
"837","CentralLuzon",41,2,0,"Predominantly Strong Material"
"838","Visayas",43,1,0,"Predominantly Strong Material"
"839","MetroManila",49,3,0,"Predominantly Strong Material"
"840","Visayas",31,5,2,"Predominantly Strong Material"
"841","Visayas",86,1,0,"Predominantly Strong Material"
"842","Visayas",74,5,0,"Predominantly Strong Material"
"843","MetroManila",27,4,3,"Predominantly Strong Material"
"844","CentralLuzon",32,2,0,"Predominantly Strong Material"
"845","MetroManila",46,4,1,"Predominantly Strong Material"
"846","Visayas",47,3,0,"Predominantly Light/Salvaged Material"
"847","Visayas",50,6,0,"Predominantly Strong Material"
"848","IlocosRegion",70,1,0,"Predominantly Strong Material"
"849","Visayas",39,4,0,"Predominantly Strong Material"
"850","Visayas",56,5,2,"Predominantly Strong Material"
"851","IlocosRegion",67,4,0,"Predominantly Strong Material"
"852","DavaoRegion",64,4,1,"Predominantly Strong Material"
"853","MetroManila",42,3,0,"Predominantly Strong Material"
"854","MetroManila",37,6,0,"Predominantly Strong Material"
"855","Visayas",63,3,0,"Predominantly Strong Material"
"856","MetroManila",37,1,0,"Predominantly Strong Material"
"857","Visayas",44,9,1,"Predominantly Strong Material"
"858","MetroManila",48,5,3,"Predominantly Strong Material"
"859","Visayas",49,3,0,"Predominantly Strong Material"
"860","CentralLuzon",85,4,0,"Predominantly Strong Material"
"861","CentralLuzon",46,4,0,"Predominantly Strong Material"
"862","Visayas",53,2,0,"Predominantly Light/Salvaged Material"
"863","IlocosRegion",27,3,0,"Predominantly Light/Salvaged Material"
"864","MetroManila",72,10,0,"Predominantly Strong Material"
"865","Visayas",43,5,0,"Predominantly Strong Material"
"866","Visayas",65,4,1,"Predominantly Strong Material"
"867","CentralLuzon",45,6,1,"Predominantly Strong Material"
"868","CentralLuzon",51,4,0,"Predominantly Strong Material"
"869","MetroManila",58,3,0,"Predominantly Strong Material"
"870","Visayas",69,1,0,"Predominantly Strong Material"
"871","Visayas",57,3,0,"Predominantly Light/Salvaged Material"
"872","DavaoRegion",60,4,0,"Predominantly Strong Material"
"873","Visayas",58,2,0,"Predominantly Strong Material"
"874","Visayas",33,2,0,"Predominantly Light/Salvaged Material"
"875","MetroManila",37,3,0,"Predominantly Strong Material"
"876","IlocosRegion",58,5,2,"Predominantly Strong Material"
"877","CentralLuzon",70,5,0,"Predominantly Strong Material"
"878","DavaoRegion",67,1,0,"Predominantly Strong Material"
"879","CentralLuzon",52,3,0,"Predominantly Strong Material"
"880","Visayas",44,4,1,"Predominantly Strong Material"
"881","Visayas",40,5,0,"Predominantly Strong Material"
"882","CentralLuzon",50,9,1,"Predominantly Strong Material"
"883","IlocosRegion",41,5,0,"Predominantly Strong Material"
"884","DavaoRegion",77,1,0,"Predominantly Strong Material"
"885","Visayas",65,1,0,"Predominantly Strong Material"
"886","Visayas",48,8,1,"Predominantly Light/Salvaged Material"
"887","CentralLuzon",64,2,0,"Predominantly Strong Material"
"888","Visayas",49,1,0,"Predominantly Strong Material"
"889","MetroManila",41,5,0,"Predominantly Strong Material"
"890","Visayas",30,3,1,"Predominantly Strong Material"
"891","IlocosRegion",80,0,0,"Predominantly Light/Salvaged Material"
"892","Visayas",83,1,0,"Predominantly Strong Material"
"893","Visayas",53,8,1,"Predominantly Strong Material"
"894","Visayas",53,3,0,"Predominantly Strong Material"
"895","Visayas",54,9,2,"Predominantly Strong Material"
"896","DavaoRegion",36,2,0,"Predominantly Light/Salvaged Material"
"897","IlocosRegion",31,3,0,"Predominantly Light/Salvaged Material"
"898","IlocosRegion",49,2,0,"Predominantly Strong Material"
"899","DavaoRegion",46,0,0,"Predominantly Strong Material"
"900","Visayas",69,4,0,"Predominantly Strong Material"
"901","Visayas",36,2,1,"Predominantly Strong Material"
"902","MetroManila",62,3,0,"Predominantly Strong Material"
"903","Visayas",53,3,0,"Predominantly Strong Material"
"904","MetroManila",32,4,1,"Predominantly Light/Salvaged Material"
"905","CentralLuzon",37,2,0,"Predominantly Strong Material"
"906","MetroManila",35,1,0,"Predominantly Strong Material"
"907","Visayas",67,4,0,"Predominantly Strong Material"
"908","Visayas",58,2,1,"Predominantly Strong Material"
"909","Visayas",71,0,0,"Predominantly Strong Material"
"910","IlocosRegion",36,2,1,"Predominantly Strong Material"
"911","CentralLuzon",82,3,0,"Predominantly Strong Material"
"912","CentralLuzon",70,1,0,"Predominantly Strong Material"
"913","Visayas",48,5,2,"Predominantly Strong Material"
"914","Visayas",46,5,0,"Predominantly Strong Material"
"915","Visayas",55,2,0,"Predominantly Light/Salvaged Material"
"916","CentralLuzon",73,2,0,"Predominantly Light/Salvaged Material"
"917","Visayas",30,2,0,"Predominantly Strong Material"
"918","Visayas",52,3,0,"Predominantly Strong Material"
"919","Visayas",25,2,0,"Predominantly Strong Material"
"920","DavaoRegion",46,5,0,"Predominantly Strong Material"
"921","Visayas",32,2,0,"Predominantly Strong Material"
"922","CentralLuzon",51,4,0,"Predominantly Strong Material"
"923","DavaoRegion",48,4,1,"Predominantly Strong Material"
"924","Visayas",48,5,0,"Predominantly Strong Material"
"925","Visayas",44,3,0,"Predominantly Strong Material"
"926","CentralLuzon",62,3,0,"Predominantly Strong Material"
"927","IlocosRegion",58,5,0,"Predominantly Strong Material"
"928","Visayas",60,0,0,"Predominantly Strong Material"
"929","CentralLuzon",64,1,0,"Predominantly Light/Salvaged Material"
"930","Visayas",49,6,1,"Predominantly Light/Salvaged Material"
"931","MetroManila",50,5,0,"Predominantly Strong Material"
"932","CentralLuzon",40,4,0,"Predominantly Strong Material"
"933","Visayas",37,4,2,"Predominantly Strong Material"
"934","IlocosRegion",64,2,0,"Predominantly Strong Material"
"935","Visayas",41,3,1,"Predominantly Strong Material"
"936","CentralLuzon",63,5,0,"Predominantly Strong Material"
"937","IlocosRegion",49,9,1,"Predominantly Strong Material"
"938","IlocosRegion",56,8,1,"Predominantly Strong Material"
"939","IlocosRegion",88,0,0,"Predominantly Strong Material"
"940","Visayas",69,1,0,"Predominantly Strong Material"
"941","MetroManila",41,3,0,"Predominantly Strong Material"
"942","Visayas",43,7,1,"Predominantly Light/Salvaged Material"
"943","CentralLuzon",47,4,0,"Predominantly Strong Material"
"944","Visayas",59,1,0,"Predominantly Strong Material"
"945","CentralLuzon",36,4,0,"Predominantly Strong Material"
"946","Visayas",53,6,1,"Predominantly Strong Material"
"947","DavaoRegion",55,2,0,"Predominantly Strong Material"
"948","Visayas",39,3,0,"Predominantly Light/Salvaged Material"
"949","CentralLuzon",32,4,1,"Predominantly Strong Material"
"950","Visayas",46,3,0,"Predominantly Strong Material"
"951","MetroManila",43,6,1,"Predominantly Strong Material"
"952","IlocosRegion",50,2,0,"Predominantly Strong Material"
"953","CentralLuzon",73,3,0,"Predominantly Strong Material"
"954","MetroManila",42,3,1,"Predominantly Strong Material"
"955","Visayas",66,4,0,"Predominantly Strong Material"
"956","Visayas",64,2,0,"Predominantly Light/Salvaged Material"
"957","Visayas",29,3,2,"Predominantly Strong Material"
"958","DavaoRegion",79,1,0,"Predominantly Strong Material"
"959","IlocosRegion",65,0,0,"Predominantly Strong Material"
"960","Visayas",66,2,0,"Predominantly Strong Material"
"961","CentralLuzon",59,3,0,"Predominantly Strong Material"
"962","MetroManila",79,3,0,"Predominantly Strong Material"
"963","Visayas",61,2,0,"Predominantly Strong Material"
"964","Visayas",44,7,1,"Predominantly Strong Material"
"965","Visayas",77,2,0,"Predominantly Strong Material"
