,Species,Zone,Tree,Tree.height,Tree.girth,Strata,Branch,Branch.length,Length,Width,Area,Petiole.length,Petiole.width,Herbivory,Stomata,Branchnum
230,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,2,33,13.02,5.81,49.56,8.1,1.6,20,60,68
231,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,2,33,13.99,6.11,53.81,8.3,1.5,20,60,68
232,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,3,47,15.91,5.91,56.78,8.8,1.6,8,60,69
233,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,3,47,12.99,6.04,51.07,9.6,1.9,6,60,69
234,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,3,47,10.49,5.32,40.47,8.1,1.5,20,60,69
235,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,3,47,15.11,6.1,56.28,9,1.9,5,60,69
236,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,3,47,11.57,6.06,48,9.1,1.7,12,52,69
237,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,1,44,13.79,5.97,52.4,8.3,1.6,2,52,64
238,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,1,44,14.58,5.48,50.82,8.5,1.6,8,52,64
239,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,1,44,14.37,5.22,48.55,7.7,1.7,8,52,64
240,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,1,44,13.21,5.78,49.78,8,1.6,25,52,64
241,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,1,44,14.14,6.65,57.86,8.1,1.8,4,52,64
242,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,2,38,14.41,5.11,47.89,7.2,1.4,3,52,65
243,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,2,38,12.65,5.53,46.8,7.9,1.6,2,52,65
244,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,2,38,14.56,5.63,51.8,7.7,1.6,22,52,65
245,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,2,38,12.03,5.38,44.36,7.5,1.6,0,52,65
246,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,2,38,11.54,4.69,38.51,5.7,1.4,20,52,65
247,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,3,44,12.48,5.52,46.34,7.7,1.7,1,52,66
248,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,3,44,12.49,5.2,44.16,8.1,1.6,10,52,66
249,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,3,44,13.37,5.65,49.25,7,1.5,1,52,66
250,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,3,44,13.2,5.9,50.58,8.3,1.7,2,52,66
251,Cassia fistula,Dry Deciduous,6,5,29.5,Mid,3,44,13.28,4.68,42.38,6.8,1.2,8,52,66
252,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,1,29,15.38,6.08,56.75,7.2,1.7,15,50,61
253,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,1,29,13.55,4.79,43.74,7.2,1.5,20,50,61
254,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,1,29,14.38,5.45,50.16,7.3,1.5,18,50,61
255,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,1,29,10,4.96,36.89,6.5,1.5,8,50,61
256,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,1,29,14.83,5.44,51.11,7.8,1.5,3,50,61
257,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,2,40,15.2,5.98,55.65,7.7,1.6,20,50,62
258,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,2,40,16.06,6.07,58.22,7.4,1.8,8,50,62
259,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,2,40,15.36,7.05,63.37,8.6,2,3,50,62
260,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,2,40,15.2,7.46,65.83,9.2,1.9,18,50,62
261,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,2,40,15.69,6.61,61.09,9,1.8,0,50,62
262,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,3,28,15.17,5.85,54.69,8,1.8,1,50,63
263,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,3,28,14.43,5.58,51.16,7.4,1.6,3,50,63
264,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,3,28,15.85,5.67,54.99,8.5,1.8,2,50,63
265,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,3,28,12.54,5.83,48.61,8,1.7,5,50,63
266,Cassia fistula,Dry Deciduous,6,5,29.5,Bottom,3,28,12.48,5.4,45.52,7.5,1.7,8,50,63
267,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,1,38,14.88,5.18,49.43,6,1.5,12,36,77
268,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,1,38,14.36,5.42,49.91,6.8,1.6,11,36,77
269,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,1,38,13.82,5.59,49.85,7.6,1.5,3,36,77
270,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,1,38,14.28,6.04,53.99,7.3,1.7,0,36,77
271,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,1,38,13.91,5.35,48.41,6.8,1.6,8,36,77
272,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,2,41,17.18,6.21,61.71,8.1,2,3,36,78
273,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,2,41,16.26,6.34,60.53,7.7,2,3,36,78
274,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,2,41,16.85,6.5,62.96,7.5,1.8,1,36,78
275,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,2,41,13.99,5.87,52.16,6.5,1.6,7,36,78
276,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,2,41,17.53,6.69,65.8,8.3,1.9,3,36,78
277,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,3,32,13.55,5.22,46.7,6.7,1.6,12,36,79
278,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,3,32,13.96,5.39,48.79,6.6,1.5,7,36,79
279,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,3,32,13.89,4.93,45.47,6.5,1.5,7,36,79
280,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,3,32,12.01,5.2,43.08,6.5,1.3,3,36,79
281,Cassia fistula,Dry Deciduous,7,9,38.7,Upper,3,32,12.9,5.38,46.33,7.3,1.9,3,36,79
282,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,1,36,14.53,5.53,51.05,7.3,1.6,2,52,74
283,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,1,36,15.83,5.75,55.5,6.8,1.8,3,52,74
284,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,1,36,12.78,5.19,44.75,6.3,2,9,52,74
285,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,1,36,14.01,6.16,54.2,8.3,2,8,52,74
286,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,1,36,14.6,5.79,52.99,8.2,2,7,52,74
287,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,2,37,16.02,6.34,59.98,9.1,2,0,52,75
288,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,2,37,15.62,6.47,59.97,8.9,2,20,52,75
289,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,2,37,11.42,5.67,44.98,8.5,1.6,10,52,75
290,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,2,37,13.1,6.11,51.8,9,1.8,5,52,75
291,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,2,37,15.27,6.02,56.09,8.8,1.9,20,52,75
292,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,3,38,11.88,6.02,48.42,8.4,1.7,3,52,76
293,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,3,38,11.48,4.71,38.51,6.6,1.4,35,52,76
294,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,3,38,13.29,6.06,51.89,8.2,1.8,4,52,76
295,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,3,38,16.2,6.42,60.94,9,2,6,52,76
296,Cassia fistula,Dry Deciduous,7,9,38.7,Mid,3,38,9.14,4.92,34.67,7.9,1.7,5,52,76
297,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,1,37,14.22,6,53.58,7,1.6,8,72,71
298,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,1,37,14.25,5.8,52.27,7.5,1.7,15,72,71
299,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,1,37,14.23,5.83,52.43,8.5,1.9,0,72,71
300,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,1,37,12.23,4.73,40.35,7.5,1.6,9,72,71
301,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,1,37,12.27,5.01,42.36,7.3,1.7,3,72,71
302,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,2,33,13.7,5.24,47.18,6.8,1.7,6,72,72
303,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,2,33,15.08,5.65,53.11,8.1,1.8,10,72,72
304,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,2,33,13.03,5.9,50.2,8.3,1.4,2,72,72
305,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,2,33,13.78,5.39,48.39,6.4,1.6,5,72,72
306,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,2,33,13.89,5.41,48.77,7.3,1.6,5,72,72
307,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,3,25,12.71,4.9,42.6,7.8,1.4,8,72,73
308,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,3,25,11.81,5.06,41.66,6.3,1.4,2,72,73
309,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,3,25,7.86,4.56,29.3,5.5,1.1,1,72,73
310,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,3,25,12.36,4.98,42.36,NA,NA,1,72,73
311,Cassia fistula,Dry Deciduous,7,9,38.7,Bottom,3,25,11.97,5.09,42.23,6.9,1.5,1,72,73
312,Cassia fistula,Dry Deciduous,8,6,30,Upper,1,37,14.06,4.61,43.66,7.5,1.7,2,40,87
313,Cassia fistula,Dry Deciduous,8,6,30,Upper,1,37,12.54,4.33,38.3,7.7,1.4,20,40,87
314,Cassia fistula,Dry Deciduous,8,6,30,Upper,1,37,13.76,5,45.66,8,1.7,1,40,87
315,Cassia fistula,Dry Deciduous,8,6,30,Upper,1,37,14.8,5.22,49.53,8.4,1.7,7,40,87
316,Cassia fistula,Dry Deciduous,8,6,30,Upper,1,37,13.89,4.58,43.07,8.9,1.6,15,40,87
317,Cassia fistula,Dry Deciduous,8,6,30,Upper,2,41,15.09,6.06,55.96,9.7,1.6,5,40,88
318,Cassia fistula,Dry Deciduous,8,6,30,Upper,2,41,12.66,5.2,44.55,7.7,1.5,5,40,88
319,Cassia fistula,Dry Deciduous,8,6,30,Upper,2,41,13.44,5.5,48.38,9.6,1.7,2,40,88
320,Cassia fistula,Dry Deciduous,8,6,30,Upper,2,41,13.45,5.77,50.25,10.2,1.8,3,40,88
321,Cassia fistula,Dry Deciduous,8,6,30,Upper,2,41,11.53,6.07,47.98,9.8,1.5,25,40,88
322,Cassia fistula,Dry Deciduous,8,6,30,Upper,3,43,12.82,5.24,45.19,9,1.6,4,40,89
323,Cassia fistula,Dry Deciduous,8,6,30,Upper,3,43,11.64,5.9,47.06,11.2,1.8,3,40,89
324,Cassia fistula,Dry Deciduous,8,6,30,Upper,3,43,13.8,4.99,45.68,8.2,1.5,5,40,89
325,Cassia fistula,Dry Deciduous,8,6,30,Upper,3,43,14.23,5.15,47.76,9.6,1.9,0,40,89
326,Cassia fistula,Dry Deciduous,8,6,30,Upper,3,43,12.51,4.36,38.44,7.9,1.7,3,40,89
327,Cassia fistula,Dry Deciduous,8,6,30,Mid,1,41,13.92,3.9,38.46,6.9,1.4,12,44,84
328,Cassia fistula,Dry Deciduous,8,6,30,Mid,1,41,14.69,5.16,48.86,8.9,1.9,0,44,84
329,Cassia fistula,Dry Deciduous,8,6,30,Mid,1,41,14.74,4.66,45.54,8.4,1.7,15,44,84
330,Cassia fistula,Dry Deciduous,8,6,30,Mid,1,41,13.57,5.24,46.88,9.2,1.7,3,44,84
331,Cassia fistula,Dry Deciduous,8,6,30,Mid,1,41,13.52,5.98,51.86,10.5,2,0,44,84
332,Cassia fistula,Dry Deciduous,8,6,30,Mid,2,34,12.38,4.8,41.17,7.2,1.5,5,44,85
333,Cassia fistula,Dry Deciduous,8,6,30,Mid,2,34,12.17,5.05,42.41,8.3,1.6,3,44,85
334,Cassia fistula,Dry Deciduous,8,6,30,Mid,2,34,10.23,5.02,37.82,7.6,1.4,30,44,85
335,Cassia fistula,Dry Deciduous,8,6,30,Mid,2,34,13.47,5.54,48.72,8.6,1.7,12,44,85
336,Cassia fistula,Dry Deciduous,8,6,30,Mid,2,34,13.07,4.68,41.9,7.2,1.6,10,44,85
337,Cassia fistula,Dry Deciduous,8,6,30,Mid,3,34,15.23,4.72,47.06,7.5,1.9,12,44,86
338,Cassia fistula,Dry Deciduous,8,6,30,Mid,3,34,13.23,5.51,47.97,9.8,1.6,0,44,86
339,Cassia fistula,Dry Deciduous,8,6,30,Mid,3,34,16.35,5.6,55.64,8.1,2.1,7,44,86
340,Cassia fistula,Dry Deciduous,8,6,30,Mid,3,34,15.19,5.03,49.1,9.1,1.8,2,44,86
341,Cassia fistula,Dry Deciduous,8,6,30,Mid,3,34,12.76,5.52,46.98,9,1.8,0,44,86
342,Cassia fistula,Dry Deciduous,8,6,30,Bottom,1,37,14.29,4.95,46.52,7.3,1.3,5,38,81
343,Cassia fistula,Dry Deciduous,8,6,30,Bottom,1,37,13.09,5.7,48.96,9.6,1.7,2,38,81
344,Cassia fistula,Dry Deciduous,8,6,30,Bottom,1,37,12.75,5.77,48.67,8.7,1.6,7,38,81
345,Cassia fistula,Dry Deciduous,8,6,30,Bottom,1,37,12.28,4.96,42.04,6.9,1.4,20,38,81
346,Cassia fistula,Dry Deciduous,8,6,30,Bottom,1,37,15.12,5.53,52.38,8.1,1.6,0,38,81
347,Cassia fistula,Dry Deciduous,8,6,30,Bottom,2,24,14.3,5.73,51.9,7.8,1.7,1,38,82
348,Cassia fistula,Dry Deciduous,8,6,30,Bottom,2,24,10.55,5.81,43.97,8.2,1.5,0,38,82
349,Cassia fistula,Dry Deciduous,8,6,30,Bottom,2,24,15.1,5.38,51.3,8.3,1.8,3,38,82
350,Cassia fistula,Dry Deciduous,8,6,30,Bottom,2,24,14.63,5.89,53.75,8.2,1.8,2,38,82
351,Cassia fistula,Dry Deciduous,8,6,30,Bottom,2,24,12.9,5.74,48.8,8.3,1.5,5,38,82
352,Cassia fistula,Dry Deciduous,8,6,30,Bottom,3,34,12.33,5.25,44.15,9.3,1.6,0,38,83
353,Cassia fistula,Dry Deciduous,8,6,30,Bottom,3,34,14.31,5.2,48.28,8.5,1.7,1,38,83
354,Cassia fistula,Dry Deciduous,8,6,30,Bottom,3,34,13.91,4.95,45.66,8.7,1.6,1,38,83
355,Cassia fistula,Dry Deciduous,8,6,30,Bottom,3,34,9.67,4.81,35.11,8.2,1.4,1,38,83
356,Cassia fistula,Dry Deciduous,9,6,30,Bottom,3,34,11.53,5.14,41.58,9.6,1.8,5,38,93
357,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,1,34,14.23,6.4,56.35,8.3,2.1,2,42,97
358,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,1,34,13.81,6.08,53.2,8.3,1.7,7,42,97
359,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,1,34,12.81,6.11,51.14,7.8,1.9,2,42,97
360,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,1,34,14.64,2.92,33.35,8.6,1.8,12,42,97
361,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,1,34,14.88,6,55.07,8.5,1.7,1,42,97
362,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,2,35,14.07,6.31,55.37,9.9,1.9,7,42,98
363,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,2,35,12.95,6,50.7,9.7,1.8,1,42,98
364,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,2,35,17.24,6.29,62.4,8.6,2.3,5,42,98
365,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,2,35,17.05,6.35,62.38,8.1,2.3,3,42,98
366,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,2,35,13.47,6.43,54.84,9.2,1.9,0,42,98
367,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,3,33,16.51,5.8,57.38,7.1,1.8,0,42,99
368,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,3,33,14.42,5.77,52.45,8.6,1.7,6,42,99
369,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,3,33,13.46,5.99,51.79,9,1.9,8,42,99
370,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,3,33,14.8,5.58,52,8.2,1.8,0,42,99
371,Cassia fistula,Dry Deciduous,9,5.5,31.6,Upper,3,33,13.78,5.71,50.59,9.2,1.9,0,42,99
372,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,1,36,13.34,5.63,49.04,8.6,1.8,6,40,94
373,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,1,36,11.75,5.7,45.93,8,1.6,35,40,94
374,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,1,36,16.22,5.04,51.5,7.2,2,10,40,94
375,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,1,36,16.8,5.54,56.25,8.7,2,5,40,94
376,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,1,36,16.32,6.08,58.87,8.6,1.9,15,40,94
377,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,2,38,13.08,5.91,50.38,8,1.7,1,40,95
378,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,2,38,14.05,5.1,47,7.4,1.4,10,40,95
379,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,2,38,10.35,5.64,42.35,8.2,1.7,1,40,95
380,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,2,38,15.7,5.72,55,7.9,1.8,25,40,95
381,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,2,38,13.61,5.84,51.1,8.3,2,9,40,95
382,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,3,35,13.27,6.3,53.49,8,1.9,0,40,96
383,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,3,35,15.67,5.32,52.18,7.4,1.8,16,40,96
384,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,3,35,15.43,4.8,48.06,7,1.5,11,40,96
385,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,3,35,15.8,5.92,56.6,7.7,1.8,2,40,96
386,Cassia fistula,Dry Deciduous,9,5.5,31.6,Mid,3,35,14.19,5.9,52.82,8.1,1.9,0,40,96
387,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,1,28,13.46,5.62,49.25,8.6,1.7,1,50,91
388,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,1,28,14.69,5.3,49.83,7.2,1.7,4,50,91
389,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,1,28,13.7,5.67,50.13,8.5,1.7,1,50,91
390,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,1,28,11.19,5.34,42.19,7.7,1.7,5,50,91
391,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,1,28,12.13,5.51,45.48,8.2,1.6,0,50,91
392,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,2,34,15.24,6.14,56.85,7.6,1.6,1,50,92
393,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,2,34,16,5.94,57.19,7.6,1.8,6,50,92
394,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,2,34,16.06,5.61,55.06,7.3,1.8,4,50,92
395,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,2,34,12.58,6.24,51.52,7.2,1.9,4,50,92
396,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,2,34,12.51,6.14,50.67,7.8,1.7,10,50,92
397,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,3,29,13.25,5.61,48.7,9.1,1.9,3,50,93
398,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,3,29,14.32,6.33,56.07,9,2,2,50,93
399,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,3,29,17.38,6.24,62.37,8.2,1.9,3,50,93
400,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,3,29,12.55,6.14,50.76,8.8,1.9,0,50,93
401,Cassia fistula,Dry Deciduous,9,5.5,31.6,Bottom,3,29,17.19,6.28,62.22,8.5,2.4,2,50,93
402,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,1,37,17.1,5.78,58.58,6.6,1.9,0,50,107
403,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,1,37,17.81,6.71,66.57,8.1,1.8,1,50,107
404,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,1,37,17.97,5.92,61.51,7.2,1.6,3,50,107
405,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,1,37,16.26,5.8,56.81,7,1.8,0,50,107
406,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,1,37,16.15,6.93,64.33,8.5,2.1,8,50,107
407,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,2,32,12.05,5.05,42.14,8,1.7,3,50,108
408,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,2,32,12.98,4.97,43.69,6,1.5,7,50,108
409,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,2,32,9.28,4.22,30.17,6.9,1.5,3,50,108
410,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,2,32,13.14,4.88,43.43,7,1.4,15,50,108
411,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,2,32,11.4,4.59,37.51,6.2,1.6,3,50,108
412,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,3,36,14.64,5.8,53.15,9.6,1.7,5,50,109
413,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,3,36,13.35,5.67,49.34,9.7,2.2,2,50,109
414,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,3,36,13.26,5.55,48.31,8.2,1.7,12,50,109
415,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,3,36,14.9,5.38,50.85,7,1.9,5,50,109
416,Cassia fistula,Dry Deciduous,10,8,36.5,Upper,3,36,14.23,5.51,50.23,8.8,2.1,5,50,109
417,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,1,33,12.96,6.2,52.1,7.3,1.8,7,38,104
418,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,1,33,15.44,5.81,55.03,7.7,1.7,6,38,104
419,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,1,33,14.4,5.48,50.41,7.4,1.7,5,38,104
420,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,1,33,16.71,5.46,55.49,7.8,2.1,0,38,104
421,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,1,33,15.65,6.13,57.7,7.4,2,10,38,104
422,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,2,26,11.59,4.3,35.94,5.6,1.9,0,38,105
423,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,2,26,11.44,4.03,33.75,6.2,1.6,7,38,105
424,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,2,26,12.65,4.33,38.55,6,1.6,4,38,105
425,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,2,26,10.93,4.35,34.79,5.5,1.5,0,38,105
426,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,2,26,12.63,4.24,37.88,6.2,1.6,9,38,105
427,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,3,21,15.67,6.13,57.75,7.5,2,2,38,106
428,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,3,21,12.22,5.26,43.97,7.5,1.8,1,38,106
429,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,3,21,14.56,5.85,53.31,6.5,2,8,38,106
430,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,3,21,9.95,5.16,38.15,6.8,1.7,6,38,106
431,Cassia fistula,Dry Deciduous,10,8,36.5,Mid,3,21,13.55,5.49,48.56,6.4,1.6,40,38,106
432,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,1,44,13.37,5.36,47.25,8,1.9,1,50,101
433,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,1,44,14.66,4.94,47.28,6.1,1.8,4,50,101
434,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,1,44,16.94,5.14,53.81,6.8,1.9,18,50,101
435,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,1,44,17.24,6.41,63.22,8.3,1.9,16,50,101
436,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,1,44,16.54,6.27,60.68,8.4,2,8,50,101
437,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,2,29,13.52,5.69,49.86,6,1.8,2,50,102
438,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,2,29,16.12,5.35,53.4,7.3,1.8,0,50,102
439,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,2,29,14.2,5.06,47.07,7.9,1.9,5,50,102
440,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,2,29,15.66,5.4,52.71,7.6,1.8,3,50,102
441,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,2,29,14.45,5.81,52.79,6.6,1.7,1,50,102
442,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,3,32,14.08,5.83,52.09,8.6,1.9,2,50,103
443,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,3,32,15.43,5.67,54.04,8.2,1.8,0,50,103
444,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,3,32,14.01,5.62,50.49,9,1.8,0,50,103
445,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,3,32,16.39,5.51,55.11,7.4,2,5,50,103
446,Cassia fistula,Dry Deciduous,10,8,36.5,Bottom,3,32,13.98,5.62,50.42,7.6,1.8,22,50,103
447,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,1,41,13.67,4.45,41.68,7.2,1.6,7,36,117
448,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,1,41,10.93,4.23,33.97,6.5,1.6,2,36,117
449,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,1,41,12.21,4.57,39.2,8.7,1.6,2,36,117
450,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,1,41,12.48,4.2,37.27,8.5,1.6,30,36,117
451,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,1,41,8.86,4.11,28.46,7.4,1.5,1,36,117
452,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,2,44,11.83,5.07,41.78,8.3,1.9,1,36,118
453,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,2,44,13.48,4.07,38.63,5.8,1.4,12,36,118
454,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,2,44,13.07,5,44.1,8.7,1.6,3,36,118
455,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,2,44,14.28,3.95,39.62,8.3,1.5,20,36,118
456,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,2,44,12.1,3.3,30.22,6,1.5,40,36,118
457,Cassia fistula,Moist Deciduous,11,5,26.9,Upper,3,38,13.02,4.33,39.38,5.4,1.7,10,36,119
